total ratings,growth (30 days),growth (60 days),price,5 star ratings,4 star ratings,3 star ratings,2 star ratings,1 star ratings,average rating
1576348,0.5,0.7,0,1105281,311948,78869,24813,55435,4.51
1576348,0.5,0.7,0,432066,90340,39912,15917,69906,4.51
1576348,0.5,0.7,0,408570,47577,16761,6353,18469,4.51
1395524,0.7,1.6,0,963845,193536,78854,36877,122410,4.32
1120874,0,0.1,0,703968,191418,84231,34897,106358,4.21
1066484,0.1,0.3,0,790349,173398,53929,15278,33527,4.57
863446,2.6,6.2,0,593833,78143,46322,27757,117389,4.16
833513,2.2,5.3,0,634927,109546,30343,16253,42441,4.53
648144,0,0,0,1105281,311948,78869,24813,55435,4.23
648144,0,0,0,432066,90340,39912,15917,69906,4.23
648144,0,0,0,408570,47577,16761,6353,18469,4.23
640744,1,2.2,0,442260,117497,37079,13354,30552,4.45
558155,0,0.1,0,437316,91620,19548,3389,6279,4.7
552246,0.9,2.5,0,423267,57548,24886,10084,36459,4.49
520482,1.2,1.9,0,387835,86497,22455,7049,16644,4.58
497732,1.1,2.6,0,1105281,311948,78869,24813,55435,4.65
497732,1.1,2.6,0,432066,90340,39912,15917,69906,4.65
497732,1.1,2.6,0,408570,47577,16761,6353,18469,4.65
494898,0.6,1.2,0,347113,86346,30669,9084,21683,4.47
488591,0.8,1.9,0,399382,31069,9279,6049,42809,4.51
469753,0,0,0,342790,41145,25513,13298,47005,4.32
469282,3,5,0,376619,50048,13116,6299,23197,4.6
455528,1.6,3.1,0,277736,45889,25538,14753,91609,3.89
448786,0.1,0.3,0,314368,91964,24250,5847,12355,4.54
